pmid	disorder	verb
24950788	frontotemporal dementia	compared
18645130	dementia	mean
32745995	schizophrenia	resting
16631133	schizophrenia	type
19652121	schizophrenia	show
18400924	dementia	view
31494485	schizophrenia	work
17457314	schizophrenia	show
21309960	alcohol withdrawal	drinking
28799955	panic disorder	related
27151065	frontotemporal dementia	order
23739971	narcolepsy	using
18248960	schizophrenia	copy
31445390	social anxiety disorder	order
17907268	schizophrenia	developed
26075893	frontotemporal dementia	changes
30506177	delirium	conducted
30506177	delirium	come
27902448	narcolepsy	stimulating
11226812	neurodevelopmental disorders	orders
12072173	schizophrenia	showed
16246436	attention deficit hyperactivity disorder	used
28371807	nicotine withdrawal	decreased
28379529	schizophrenia	shed
29423131	autism spectrum disorder	ground
17203012	schizophrenia	view
16035139	nicotine dependence	found
19617327	dementia	binding
24801217	dementia	matched
9225797	dementia	compared
8102851	schizophrenia	discussed
30522820	autism spectrum disorder	treat
28425060	schizophrenia	compared
28425060	schizophrenia	controls
25322924	dementia	delay
25322924	dementia	measure
27638451	autism spectrum disorder	order
25849095	schizophrenia	type
15948156	alcohol dependence	induced
18950366	schizophrenia	test
19110265	schizophrenia	implicated
19110265	schizophrenia	formed
30103333	dementia	calculated
30984036	schizophrenia	been
27485952	mood disorders	including
21861822	mood disorders	orders
27068568	schizophrenia	ground
21312409	schizophrenia	used
8604046	schizophrenia	been
32312167	dementia	related
22209236	schizophrenia	leading
24040207	schizophrenia	light
14623499	schizophrenia	originating
11993532	dementia	cut
11993532	dementia	cut
29278697	schizophrenia	decreased
30282513	mood disorders	orders
26180683	obsessive-compulsive disorder	ache
22492266	schizophrenia	been
25754826	schizophrenia	driven
14624811	attention deficit hyperactivity disorder	stimulated
24387821	schizophrenia	determine
24387821	schizophrenia	does
27666370	intellectual disability	report
29349038	schizophrenia	scales
16195246	dementia	studying
25904791	schizophrenia	tested
32066712	schizophrenia	measured
23649390	schizophrenia	had
17634367	schizophrenia	express
6235797	dementia	orders
17279373	schizophrenia	been
28655565	autism spectrum disorder	causes
19303592	dementia	studies
26180144	dementia	present
16707802	mood disorders	orders
27137218	dementia	included
15305238	depressive disorders	relates
22232593	dementia	provided
24919168	schizophrenia	viewed
11989989	schizophrenia	ground
10759187	dementia	set
26754469	dementia	ring
18707945	delirium	including
18707945	delirium	including
25471585	frontotemporal dementia	order
24179788	mood disorders	suggest
22659472	schizophrenia	recognized
27677901	autism spectrum disorder	ground
23208196	dementia	ring
26746121	autism spectrum disorder	determine
24706880	schizophrenia	been
10050898	schizophrenia	cross
10050898	schizophrenia	reduced
10064828	schizophrenia	stimulated
10064828	schizophrenia	stimulated
10064828	schizophrenia	studies
10068311	dementia	determine
10069581	obsessive-compulsive disorder	rent
10071707	schizophrenia	been
10074872	rapid cycling	organized
10075518	depressive disorders	orders
10078056	dementia	mixed
10078715	dementia	measures
10078715	dementia	change
10082190	schizophrenia	proposed
10085209	schizophrenia	order
10098866	schizophrenia	having
101025	dementia	rains
1011028	dementia	present
10171577	dementia	help
10187995	schizophrenia	ground
10187995	schizophrenia	direct
10195166	schizophrenia	impaired
10195334	dementia	determine
10200740	schizophrenia	relate
10202575	panic attack	ground
10203117	dementia	showed
10204308	dementia	followed
10206239	panic disorder	lies
10208533	nicotine withdrawal	show
10208533	nicotine withdrawal	indicate
10210814	attention deficit hyperactivity disorder	present
10211140	schizophrenia	studies
10213068	schizophrenia	changes
10213068	schizophrenia	failed
10214736	dementia	compared
10214736	dementia	increased
10216000	dementia	samples
10216000	dementia	showed
10218940	dementia	including
10222770	dementia	type
10225346	dementia	acts
10229740	dementia	showed
10281975	schizophrenia	tend
10320207	schizophrenia	following
10328519	schizophrenia	contrast
10329595	dementia	stem
10331103	schizophrenia	ground
10331103	schizophrenia	finding
10331105	schizophrenia	found
10334493	dementia	called
10339021	dementia	measures
1034236	pica	attack
10343970	dementia	rent
10347434	dementia	conducting
10349039	schizophrenia	studies
10349040	schizophrenia	shown
10349341	dementia	scale
10355490	schizophrenia	seem
10355490	schizophrenia	formed
10356620	schizophrenia	help
10359468	schizophrenia	ground
10359468	schizophrenia	work
10364646	dementia	done
10366174	dementia	state
10369354	dementia	changes
10372607	schizophrenia	improve
10374241	mood disorders	relate
10374651	schizophrenia	survey
10375980	schizophrenia	using
10375980	schizophrenia	test
10376121	schizophrenia	ground
10379527	cocaine withdrawal	ring
10389597	dementia	existing
10391443	dementia	induced
10395215	schizophrenia	repeats
10395221	schizophrenia	treated
10396468	dementia	sample
10401463	schizophrenia	suggests
10401463	schizophrenia	used
10405081	schizophrenia	indicate
10407834	schizophrenia	play
10407844	dementia	signal
10411337	schizophrenia	thought
10412193	schizophrenia	type
10412705	dementia	held
10416730	schizophrenia	propose
10417247	dementia	forced
10422481	schizophrenia	increased
10427605	schizophrenia	believed
10427609	schizophrenia	reports
10430474	schizophrenia	found
10430474	schizophrenia	using
10432512	schizophrenia	acts
10432512	schizophrenia	differed
10434380	delirium	dry
10435198	schizophrenia	support
10435203	schizophrenia	marks
10435610	schizophrenia	ground
10435610	schizophrenia	cross
10436347	frontotemporal dementia	measures
10439447	dementia	found
10439454	schizophrenia	introduced
10441242	anorexia nervosa	reduced
10442553	frontotemporal dementia	changes
10442797	attention deficit hyperactivity disorder	use
10444798	enuresis	report
10445434	dementia	measuring
10447153	dementia	indicated
10448443	schizophrenia	lies
10448452	intellectual disability	had
10448801	dementia	noted
10448801	dementia	does
10448805	dementia	taking
10450259	schizophrenia	sampling
10461903	mood disorders	orders
10466737	dementia	related
10471090	catatonia	contributed
10472413	schizophrenia	studies
10472415	schizophrenia	appears
10472415	schizophrenia	been
10472420	schizophrenia	ground
10472420	schizophrenia	indicate
10472423	schizophrenia	ground
10472423	schizophrenia	studies
10472423	schizophrenia	explore
10472423	schizophrenia	support
10473323	schizophrenia	cross
10473323	schizophrenia	found
10473325	dementia	adjusting
10474811	alcohol intoxication	changes
10478377	dementia	had
10482382	dementia	studies
10483782	dementia	type
10483792	dementia	report
10486670	dementia	shed
10487390	alcohol withdrawal	causes
10489041	dementia	count
10494458	obsessive-compulsive disorder	implicate
10500422	dementia	orders
10501205	schizophrenia	binding
10507387	pica	remained
10507520	schizophrenia	types
10507525	schizophrenia	studies
10509177	schizophrenia	support
10510221	dementia	include
10519078	schizophrenia	changes
10522886	dementia	rent
10522898	attention deficit hyperactivity disorder	order
10523048	obsessive-compulsive disorder	implicated
10523823	schizophrenia	reported
10523823	schizophrenia	concluded
10534277	dementia	adjusting
10537964	schizophrenia	had
10541875	dementia	reported
10546090	personality disorder	order
10546964	dementia	had
10548674	pica	related
10548674	pica	related
10549687	dementia	reduce
10551541	schizophrenia	conclude
10553733	schizophrenia	made
10553737	schizophrenia	had
10560657	dementia	rains
10562838	pica	approach
10566908	restless legs syndrome	determine
10567490	dementia	matter
10572754	alcohol intoxication	studied
10574365	schizophrenia	considered
10575329	personality disorder	order
10579804	nicotine withdrawal	producing
10582221	dementia	mean
10588411	schizophrenia	signals
10591289	schizophrenia	forms
10592125	pica	verified
10594085	schizophrenia	been
10595734	nicotine dependence	related
10595734	nicotine dependence	using
10597433	alcohol dependence	used
10600022	dementia	been
10607098	rem sleep behaviour disorder	sleep
10607116	nocturnal enuresis	sleep
10610044	schizophrenia	try
10610055	schizophrenia	studies
10612116	schizophrenia	applies
10613493	schizophrenia	decrease
10613494	schizophrenia	been
10616085	pica	had
10618008	schizophrenia	include
10618009	schizophrenia	related
10618009	schizophrenia	present
10618009	schizophrenia	measures
10618009	schizophrenia	implicate
10618011	schizophrenia	lies
10618013	schizophrenia	cause
10619638	schizophrenia	appears
10622340	schizophrenia	been
10624548	schizophrenia	rains
10624552	schizophrenia	ground
10624552	schizophrenia	indicate
10626922	anorexia nervosa	determine
10628943	schizophrenia	been
10632234	schizophrenia	ground
10632234	schizophrenia	play
10632234	schizophrenia	decrease
10638826	schizophrenia	studies
10638861	schizophrenia	explore
10639840	agoraphobia	had
10641578	obsessive-compulsive disorder	order
10641579	schizophrenia	used
10641579	schizophrenia	add
10644799	schizophrenia	water
10644799	schizophrenia	changes
10646831	schizophrenia	related
10646831	schizophrenia	scale
10647089	schizophrenia	discuss
10647944	dementia	rent
10648299	dementia	scale
10649825	schizophrenia	measured
10649825	schizophrenia	support
10650445	schizophrenia	ground
10651027	dementia	developed
10651112	dementia	had
10653287	schizophrenia	corresponding
10654104	schizophrenia	stem
10659576	dementia	type
10664648	bulimia nervosa	rent
10665641	schizoaffective disorder	proposed
10667751	schizophrenia	suggest
10668605	frontotemporal dementia	reported
10668700	dementia	related
10670435	schizophrenia	present
10674226	delirium	control
10676583	dementia	modified
10679792	dementia	been
10682215	obsessive-compulsive disorder	ground
10682215	obsessive-compulsive disorder	order
10682215	obsessive-compulsive disorder	observed
10682215	obsessive-compulsive disorder	related
10682215	obsessive-compulsive disorder	provide
10687747	bulimia nervosa	rent
10688159	schizophrenia	showed
10688159	schizophrenia	suggest
10689933	dementia	distributed
10690974	dementia	reviewed
10690987	dementia	course
10694716	body dysmorphic disorder	related
10697822	schizophrenia	do
10697827	schizophrenia	found
10697827	schizophrenia	formed
10698816	schizophrenia	described
10698818	schizophrenia	matter
10704949	schizophrenia	observed
10704949	schizophrenia	stem
10706031	dementia	compared
10708841	depressive disorders	used
10711910	schizophrenia	led
10713578	dementia	value
10715353	mood disorders	been
10717638	schizophrenia	been
10718151	schizophrenia	matter
10719142	schizophrenia	eat
10719145	schizophrenia	increased
10719153	schizophrenia	related
10719154	schizophrenia	implicated
10719165	schizophrenia	review
10719223	schizophrenia	order
10728717	schizophrenia	thought
10728717	schizophrenia	sought
10729940	personality disorder	manage
10731621	schizophrenia	seems
10731621	schizophrenia	known
10735393	dementia	setting
10735393	dementia	classified
10739412	schizophrenia	compared
10739431	schizophrenia	measured
10746908	schizophrenia	related
10749103	schizophrenia	changes
10751108	dementia	been
10754427	mood disorders	been
10755683	schizophrenia	explore
10757132	alcohol withdrawal	measured
10757132	alcohol withdrawal	beginning
10757257	panic disorder	order
10760357	panic disorder	order
10762503	dementia	ground
10765047	dementia	believe
10765048	dementia	did
10767329	schizophrenia	finding
10767728	dementia	showed
10768555	dementia	measured
10768629	dementia	work
10768696	schizophrenia	ground
10768696	schizophrenia	observed
10771018	panic disorder	escape
10773031	opioid withdrawal	present
10775826	anorexia nervosa	identified
10776677	alcohol dependence	ground
10782769	dementia	compared
10785375	pica	producing
10785448	dementia	studied
10785578	schizophrenia	shape
10786095	dementia	mean
10789304	schizophrenia	free
10789327	schizophrenia	ground
10790882	schizophrenia	been
10792584	schizophrenia	present
10793489	dementia	mean
10800621	schizophrenia	changes
10805094	dementia	reviewed
10805097	dementia	learning
10808691	dementia	using
10809400	dementia	matched
10810247	opioid withdrawal	increases
10811545	dementia	included
10812442	panic disorder	had
10812442	panic disorder	had
10817120	nicotine dependence	had
10821998	schizophrenia	present
10821998	schizophrenia	support
10821999	schizophrenia	obtained
10822161	mood disorders	increase
10822429	dementia	change
10824648	alcohol dependence	had
10831772	dementia	treated
10833584	dementia	stem
10834622	binge eating disorder	compares
10834631	dissociative disorders	selected
10838062	schizophrenia	ground
10843517	dementia	related
10850748	dementia	stem
10854724	schizophrenia	present
10856179	neurodevelopmental disorders	stem
10858614	dementia	binding
10858614	dementia	use
10859637	schizophrenia	try
10861918	dementia	produces
10863764	bulimia nervosa	eating
10869246	alcohol dependence	view
10869886	schizophrenia	studied
10869886	schizophrenia	studies
10873913	schizophrenia	selected
10873913	schizophrenia	types
10873924	schizophrenia	binding
10884444	dementia	made
10887947	opioid withdrawal	increased
10888062	alcohol dependence	making
10889554	schizophrenia	reported
10889554	schizophrenia	decreased
10891619	panic disorder	changes
10891646	obsessive-compulsive disorder	studies
10892223	schizophrenia	set
10894414	pica	induced
10897461	personality disorder	order
10897461	personality disorder	correspond
10897518	dementia	identify
10903406	schizophrenia	ground
10903407	schizophrenia	needed
10903409	schizophrenia	did
10910085	schizophrenia	observed
10910796	schizophrenia	ring
10911878	dementia	suggest
10911880	schizophrenia	been
10913983	schizophrenia	regarded
10920464	schizophrenia	reduced
10922508	schizophrenia	reviews
10924663	schizophrenia	suggests
10931775	schizophrenia	sort
10940679	dementia	calculated
10942042	dementia	contrast
10942684	delirium	determined
10951613	schizophrenia	scales
10953188	dementia	ground
10953188	dementia	entered
10953199	pica	found
10953199	pica	support
10954274	dementia	control
10954274	dementia	related
10958261	mood disorders	been
10960160	obsessive-compulsive disorder	ground
10960160	obsessive-compulsive disorder	measured
10960692	enuresis	ring
10963357	dementia	stem
10963361	dementia	met
10963361	dementia	met
10963361	dementia	had
10967648	dementia	including
10970055	dementia	studies
10971528	obstructive sleep apnoea	referred
10972450	nicotine dependence	indicated
10972450	nicotine dependence	forming
10974611	schizophrenia	considered
10978721	schizophrenia	present
10978876	schizophrenia	been
10983901	dementia	come
10985992	rapid cycling	rest
10987896	dementia	showed
10987896	dementia	relates
10993689	dementia	studied
10997862	hypochondriasis	compared
11001604	dementia	change
11002703	obsessive-compulsive disorder	studies
11004734	schizophrenia	showed
11007719	schizophrenia	measure
11018253	dementia	scale
11019751	personality disorder	types
11020100	panic disorder	beat
11027796	alcohol dependence	had
11028282	dementia	known
11029232	pica	reported
11029537	schizophrenia	formed
11031212	dementia	increase
11032614	dementia	rent
11032974	schizophrenia	ground
11032976	schizophrenia	control
11033343	schizophrenia	test
11037194	dementia	type
11041284	schizophrenia	studies
11041284	schizophrenia	studies
11041284	schizophrenia	reduced
11041284	schizophrenia	reduced
11041531	schizophrenia	using
11043537	schizophrenia	studies
11050300	schizophrenia	described
11053229	schizophrenia	suggest
11058479	schizophrenia	samples
11058479	schizophrenia	binding
11058479	schizophrenia	diminished
11059992	schizophrenia	ground
11063922	schizophrenia	sought
11068896	schizophrenia	understand
11070422	narcolepsy	get
11075707	pica	changes
11083316	dementia	mean
11083505	dementia	mean
11098803	dementia	determine
11098803	dementia	cut
11098803	dementia	determine
11099720	dementia	occurring
11099885	schizophrenia	compared
11103880	schizophrenia	set
11106001	schizophrenia	suggest
11106706	nicotine dependence	come
11116777	schizophrenia	ground
11122902	schizophrenia	remains
11122903	schizophrenia	reflect
11126396	schizophrenia	try
11134520	schizophrenia	plays
11148253	dementia	classified
11150925	schizophrenia	explore
11152978	narcolepsy	been
11153541	schizophrenia	plays
11153541	schizophrenia	stems
11156194	schizophrenia	work
11160463	frontotemporal dementia	described
11163545	schizophrenia	induced
11163545	schizophrenia	using
11163548	schizophrenia	accompanying
11163774	schizophrenia	been
11163775	schizophrenia	being
11163776	schizophrenia	ground
11163778	schizophrenia	indicate
11166517	schizophrenia	signal
11169630	alcohol intoxication	showed
11169630	alcohol withdrawal	following
11170809	schizophrenia	studies
11173167	cocaine dependence	using
11173794	dementia	show
11173884	dementia	set
11177115	schizophrenia	cause
11191380	bulimia nervosa	mean
11196000	schizophrenia	suggests
11198502	obsessive-compulsive disorder	order
11205348	schizophrenia	suggests
11207425	delirium	used
11208668	schizophrenia	been
11209994	dementia	cause
11213307	narcolepsy	cause
11224095	schizophrenia	imply
11231035	dementia	bearing
11231835	schizophrenia	reflect
11231835	schizophrenia	ask
11231835	schizophrenia	suggesting
11231835	schizophrenia	reflect
11235858	schizophrenia	measured
11235858	schizophrenia	finding
11239903	bulimia nervosa	free
11239909	schizophrenia	impaired
11244213	dementia	compare
11244680	dementia	stand
11244680	dementia	describe
11246148	schizophrenia	present
11255454	dementia	signal
11256057	agoraphobia	cut
11260888	pica	direct
11264329	cocaine withdrawal	training
11266405	schizophrenia	studies
11266405	schizophrenia	depend
11274306	dementia	state
11278159	schizophrenia	met
11282698	schizophrenia	been
11282698	schizophrenia	thought
11282705	schizophrenia	used
11282705	schizophrenia	showed
11282705	schizophrenia	provide
11287052	schizophrenia	been
11294477	schizophrenia	asking
1129475	pica	reflecting
11295369	schizophrenia	spread
11295371	schizophrenia	support
11295383	schizophrenia	support
11296301	schizophrenia	studies
11296301	schizophrenia	identify
11297718	panic disorder	order
11298250	depressive disorders	detecting
11304095	nicotine dependence	points
11307629	dementia	considered
11311294	dementia	rains
11311531	mood disorders	damage
11311783	schizophrenia	determine
11311783	schizophrenia	increase
11311783	schizophrenia	indicate
11316831	dementia	try
11316831	dementia	had
11320447	schizophrenia	disturbed
11322715	narcolepsy	report
11326300	schizophrenia	been
11329995	schizophrenia	selected
11331423	nicotine withdrawal	observed
11333430	delirium	state
11333432	dementia	determine
11333838	anorexia nervosa	gain
11343526	schizophrenia	ground
11343526	schizophrenia	tends
11343526	schizophrenia	used
11343526	schizophrenia	try
11343679	schizophrenia	tested
11343868	schizophrenia	using
11343870	schizophrenia	transfer
11343870	schizophrenia	explore
11352128	schizophrenia	developing
11353447	schizophrenia	lies
11353595	schizophrenia	cross
11376465	dementia	ground
11377922	schizophrenia	order
11378301	attention deficit hyperactivity disorder	matter
11378310	schizophrenia	been
11386983	schizophrenia	reduced
11387790	schizophrenia	had
11391045	alcohol intoxication	ring
11392274	schizophrenia	used
11395478	schizophrenia	reported
11411182	mood disorders	approach
11411814	personality disorder	increase
11414338	alcohol dependence	viewed
11423103	dementia	detected
11430542	delirium	present
11431233	schizophrenia	been
11431233	schizophrenia	working
11431233	schizophrenia	using
11431233	schizophrenia	showed
11431233	schizophrenia	working
11431237	schizophrenia	contrast
11431241	bulimia nervosa	had
11434981	mood disorders	includes
11442302	dementia	approach
11444099	dementia	include
11445270	dementia	type
11446307	dementia	used
11450387	attention deficit hyperactivity disorder	order
11455183	dementia	corresponds
11458138	delirium	reduced
11458138	delirium	cause
11460954	dementia	classified
11465627	schizophrenia	described
11467056	dementia	order
11468306	dementia	led
11472684	dementia	trained
11481142	rapid cycling	cycling
11481168	schizophrenia	measures
11482749	schizophrenia	collected
11483314	schizophrenia	measured
11483314	schizophrenia	conclude
11487600	dementia	dwelling
11488957	schizophrenia	used
11490548	dementia	been
11493935	dementia	related
11501738	schizophrenia	appears
11506528	schizophrenia	try
11509214	schizophrenia	done
11512050	nicotine withdrawal	search
11515751	schizophrenia	found
11518548	dementia	reports
11519154	delirium	respect
11522806	dementia	light
11522806	dementia	support
11526794	schizophrenia	conducted
11526806	dementia	cutting
11531661	schizophrenia	order
11532563	pica	type
11532563	pica	found
11532718	schizophrenia	stem
11532723	schizophrenia	include
11532723	schizophrenia	detected
11532724	schizophrenia	determine
11532725	schizophrenia	been
11532725	schizophrenia	converge
11533851	schizophrenia	changes
11548630	dementia	changes
11549234	schizophrenia	been
11549931	schizophrenia	reflect
11557889	pica	led
11559479	schizophrenia	remains
11560213	dementia	applying
11560421	factitious disorders	orders
11560764	narcolepsy	producing
11568418	dementia	share
11571761	dementia	making
11571770	depressive disorders	supports
11575601	obsessive-compulsive disorder	been
11575601	obsessive-compulsive disorder	using
11575601	obsessive-compulsive disorder	increase
11575601	obsessive-compulsive disorder	provide
11576030	depressive disorders	modified
11576758	schizophrenia	present
11577527	schizophrenia	led
11583056	mood disorders	including
11584886	dementia	sample
11584981	delirium	dry
11588596	schizophrenia	detected
11588596	schizophrenia	support
11588638	dementia	shows
11593304	dementia	conducted
11595389	schizophrenia	recognizing
11595397	schizophrenia	changes
11595397	schizophrenia	does
11598306	dementia	view
11603811	dementia	had
11603813	mood disorders	explore
1161139	pica	direct
11640942	obsessive-compulsive disorder	order
11668095	attention deficit hyperactivity disorder	had
11673590	dementia	matched
11677064	schizophrenia	studies
11677064	schizophrenia	set
11677886	pica	plied
11678346	dementia	compared
11680637	dementia	stem
11680637	dementia	including
11681194	dementia	adjusting
11691688	schizophrenia	appear
11696024	dementia	found
11696024	dementia	relating
11696809	enuresis	indicated
11697175	nicotine dependence	dance
11698063	opioid withdrawal	increase
11699341	schizophrenia	changes
11699560	dementia	rent
11699934	dementia	view
11701754	dementia	control
11702510	schizophrenia	view
11705017	obsessive-compulsive disorder	provide
11705017	impulse control disorders	search
11705634	dementia	suggest
11705714	schizophrenia	determine
11708667	schizophrenia	changes
11708667	schizophrenia	including
11711867	schizophrenia	nap
11711867	schizophrenia	nap
11715524	opioid withdrawal	induced
11715568	pica	complete
11721096	dementia	led
11726801	schizophrenia	finding
11728841	schizophrenia	classified
11732702	schizophrenia	decrease
11732704	schizophrenia	changes
11732709	schizophrenia	suggest
11732711	schizophrenia	suggested
11734362	schizophrenia	been
11735776	dementia	come
11735840	schizophrenia	compared
11735840	schizophrenia	compared
11739996	delirium	indicate
11743940	schizophrenia	ring
11748777	dementia	found
11751641	schizophrenia	review
11751641	schizophrenia	include
11755264	schizophrenia	changes
11755264	schizophrenia	detected
11756014	mood disorders	orders
11756014	mood disorders	orders
11756014	mood disorders	implicated
11756057	anorexia nervosa	had
11761720	dementia	use
11768782	narcolepsy	compared
11769695	dementia	points
11772691	schizophrenia	changes
11772691	schizophrenia	changes
11772693	dementia	used
11772693	dementia	own
11772850	schizophrenia	decreased
11779278	schizophrenia	studies
11782993	dementia	contrast
11784835	schizophrenia	done
11796186	narcolepsy	studies
11798966	pica	fixed
11799413	pica	included
11802229	dementia	move
11803305	dementia	nursing
11807415	schizophrenia	suggested
11807415	schizophrenia	do
11810986	narcolepsy	reported
11813270	dementia	related
11813275	dementia	selected
11817646	pica	collected
11817646	pica	rids
11826152	dementia	control
11827872	dementia	measured
11827872	dementia	compared
11827872	dementia	related
11827872	dementia	reflects
11835374	dementia	indicate
11840308	schizophrenia	using
11840308	schizophrenia	conclude
11840506	schizophrenia	been
11840668	dementia	led
11841721	dementia	measuring
11843695	dementia	related
11843695	dementia	allows
11847436	dementia	using
11847487	panic attack	test
11850457	schizophrenia	orders
11866176	schizophrenia	implicated
11867725	schizophrenia	wins
11869785	hypochondriasis	waves
11871	dementia	compared
11873594	dementia	parts
11883733	mood disorders	rains
11883733	mood disorders	reduced
11883733	mood disorders	indicate
11884354	schizophrenia	found
11885785	alcohol withdrawal	increased
11885785	alcohol withdrawal	indicate
11889767	dementia	scale
11889831	dementia	accompanying
11892971	dementia	add
11892977	dementia	testing
11897247	dementia	using
11900742	dementia	controlled
11904132	schizophrenia	led
11910260	panic disorder	suggested
1191041	pica	work
11912342	pica	present
11913937	alcohol dependence	cut
11914814	pica	plied
11919251	adjustment disorder	adjusting
11920985	bulimia nervosa	rent
11922886	schizophrenia	ground
11923449	schizophrenia	working
11923451	narcolepsy	get
11929576	alcohol dependence	had
11935265	schizophrenia	using
11939895	dementia	come
11940310	dementia	found
11949896	autism spectrum disorder	present
11955964	schizophrenia	support
11955967	schizophrenia	sent
11955967	schizophrenia	found
11955975	schizophrenia	compared
11957427	schizophrenia	found
11958785	obsessive-compulsive disorder	ground
11959397	dementia	damage
11959401	dementia	understand
11965171	dementia	studies
11967746	delirium	showed
11968830	pica	led
11972798	dementia	shape
11972798	dementia	including
11978847	schizophrenia	working
11978848	schizophrenia	shape
11978848	schizophrenia	measures
11983185	mood disorders	binding
11983185	mood disorders	orders
11986136	schizophrenia	studies
11986146	schizophrenia	matter
11986146	schizophrenia	shape
11986146	schizophrenia	found
11986146	schizophrenia	shape
11988230	schizophrenia	been
11988350	schizophrenia	play
11988773	narcolepsy	converged
11989988	schizophrenia	ground
11989988	schizophrenia	reported
11989988	schizophrenia	understanding
11992659	dementia	indicate
11992660	schizophrenia	determine
11994213	dysthymic disorder	stress
11999898	schizophrenia	showed
12000718	dementia	report
12004644	narcolepsy	related
12007453	schizophrenia	reported
12007457	schizophrenia	ground
1200765	narcolepsy	support
12012087	dementia	observed
12012092	dementia	report
12013580	enuresis	included
12013667	pica	arising
12023418	dementia	determine
12023420	schizophrenia	ground
12023420	schizophrenia	had
12023979	schizophrenia	suggest
12028220	dementia	indicated
12034876	intermittent explosive disorder	measured
12039426	dementia	used
12042234	personality disorder	used
12044193	schizophrenia	rest
12044473	dementia	occupied
12048148	schizophrenia	suggests
12048154	schizophrenia	mean
12051064	depressive disorders	step
12052530	anorexia nervosa	continues
12056935	dementia	scale
12058090	dementia	used
12058835	attention deficit hyperactivity disorder	explored
12060183	schizophrenia	been
12060183	schizophrenia	sample
12060187	personality disorder	constructs
12060187	personality disorder	identified
12062881	schizophrenia	ground
12062884	schizophrenia	showed
12062906	schizophrenia	studied
12072169	schizophrenia	search
12080607	dementia	consisted
12081302	schizophrenia	lies
12082047	dementia	studies
12082047	dementia	controls
12090307	depressive disorders	orders
12091195	schizophrenia	determine
12091195	schizophrenia	provide
12092069	hypochondriasis	had
12092319	sleep-related breathing disorders	sleep
12094909	dementia	rent
12096159	schizophrenia	been
12102756	schizophrenia	including
12105362	dementia	had
12106833	alcohol dependence	cause
12109935	nicotine withdrawal	use
12109951	schizophrenia	state
12112397	schizophrenia	binding
12116183	schizophrenia	using
12118154	schizophrenia	growing
12130710	alcohol intoxication	shown
12140101	dementia	causes
12140108	pica	use
12150424	schizophrenia	tested
12150424	schizophrenia	working
12150509	schizophrenia	moved
12150509	schizophrenia	led
12151837	dementia	studies
12153824	attention deficit hyperactivity disorder	used
12165372	schizophrenia	studied
12165372	schizophrenia	decreased
12169267	panic disorder	stems
12169267	panic disorder	provide
12174174	dementia	having
12180861	pica	studied
12183396	schizophrenia	show
12183397	schizophrenia	suggest
12192629	depressive disorders	been
12196645	dementia	found
12198104	dementia	giving
12201229	dementia	explained
12202269	schizophrenia	observed
12204191	schizophrenia	cause
12210272	schizophrenia	sample
12210274	schizophrenia	working
12212470	mood disorders	appear
12215596	dementia	found
12215596	dementia	rent
12223260	schizophrenia	contrast
12225441	attention deficit hyperactivity disorder	win
12230256	dementia	compared
12230325	dementia	rains
12242194	dementia	had
12269734	obsessive-compulsive disorder	connects
12269734	obsessive-compulsive disorder	report
12269734	obsessive-compulsive disorder	provide
12271797	schizophrenia	resolving
12363385	schizophrenia	used
12363393	schizophrenia	decrease
12369268	schizophrenia	impaired
12373866	schizophrenia	cause
12374492	narcolepsy	had
12377138	dementia	showed
12378420	factitious disorders	called
12378881	schizophrenia	includes
12379447	schizophrenia	discussed
12384258	schizophrenia	been
12388614	schizophrenia	studies
12395241	dementia	view
12395390	schizophrenia	rest
12399952	schizophrenia	reduced
12403129	sleep-related breathing disorders	sleep
12404703	schizophrenia	measured
12405360	pica	depending
12409153	schizophrenia	rent
12409156	schizophrenia	present
12410062	dementia	made
12411236	schizophrenia	acquired
12411236	schizophrenia	provide
12414075	schizophrenia	stems
12414259	dementia	studies
12415125	dementia	varied
12417382	dementia	view
12417860	nicotine dependence	using
12418934	schizophrenia	reports
12418934	schizophrenia	contrast
12419530	dementia	measured
12419530	dementia	try
12419530	dementia	continued
12426038	schizophrenia	arise
12426413	schizophrenia	using
12426413	schizophrenia	selected
12426413	schizophrenia	determined
12426413	schizophrenia	detected
12427683	schizophrenia	led
12427877	dementia	show
12434631	schizophrenia	studies
12436011	schizophrenia	appear
12445910	dementia	determine
12450629	mood disorders	support
12457387	schizophrenia	suggest
12470124	schizophrenia	excluded
12472268	schizophrenia	work
12476323	schizophrenia	suggest
12478219	schizophrenia	induced
12480212	pica	showed
12481444	schizophrenia	rent
12481444	schizophrenia	rent
12488057	mood disorders	ground
12489676	dementia	present
12492261	cannabis dependence	regarding
12493554	dementia	used
12493554	dementia	rent
12496348	schizophrenia	display
12498958	dementia	stems
12499837	depressive disorders	implicated
12500057	depressive disorders	compared
12505648	schizophrenia	concluded
12505804	mood disorders	orders
12505810	schizophrenia	rest
12505810	schizophrenia	related
12505814	schizophrenia	studies
12505814	schizophrenia	indicate
12509166	schizophrenia	crossed
12509590	sleep terrors	received
12511173	schizophrenia	ground
12511173	schizophrenia	been
12518303	dementia	present
12518303	dementia	contribute
12519448	schizotypal disorder	led
12523119	dementia	observed
12524629	schizophrenia	observed
12526990	schizophrenia	led
12527951	delirium	showed
12528818	dementia	constitute
12535456	obstructive sleep apnoea	present
12535783	schizophrenia	state
